especie_agregada,id_especie_agregada
"PORCINOS BOVINOS VCARNE Y LECHE, OVINOS, CAPRINOS, CANINOS Y FELINOS DOMESTICOS",174
"BOVINOS (PRODUCTORES DE CARNE Y LECHE) PORCINOS, EQUINOS, CANINOS Y FELINOS",175
"BOVINOS, EQUINOS, OVINOS, CAPRINOS, PORCINOS, CANINOS Y FELINOS",176
"BOVINOS PRODUCTORES DE CARNE, EQUINOS, CANINOS Y FELINOS",177
"BOVINOS, OVINOS, CAPRINOS, PORCINOS, EQUINOS CANINOS Y FELINOS",178
"BOVINOS CARNE Y LECHE, OVINOS, CAPRINOS, PORCINOS, CANINOS Y FELINOS",179
"BOVINOS LECHE Y CARNE, OVINOS, CAPRINOS, EQUINOS, PORCINOS, CANINOS Y FELINOS",180
"BOVINOS Y CAPRINOS (CARNE Y LECHE), PORCINOS Y OVINOS (TODAS LAS EDADES Y ETAPAS DE DESARROLLO), EQUINOS (TODAS LAS EDADES Y FUNCIONES ZOOTECNICAS), AVES (COMBATE), CANINOS Y FELINOS DOMESTICOS",181
"BOVINOS DE LECHE, EQUINOS, OVINOS, CAPRINOS, PORCINOS, CANINOS Y FELINOS",182
"BOVINOS (CARNE Y LECHE), OVINOS. CAPRINOS, CANINOS Y FELINOS",183
"BOVINO (LECHE Y CARNE), PORCINOS, OVINOS Y CANINOS Y FELINOS",184
"BOVINOS (PRODUCTORES DE CARNE Y LECHE) PORCINOS, CANINOS Y FELINOS",185
"PORCINOS, EQUINOS, CANINOS Y FELINOS",186
"BOVINOS PRDUCTORES DE CARNE Y LECHE, CANINOS Y FELINOS",187
"BOVINOS (PRODUCTORES DE CARNE ) PORCINOS, CANINOS Y FELINOS",188
"BOVINOS (PRODUCTORES DE CARNE Y LECHE ) PORCINOS, OVINOS, CANINOS Y FELINOS",189
"BOVINOS (CARNE ) PORCINOS, CANINOS Y FELINOS",190
"BOVINOS (PRODUCTORES DE CARNE) EQUINOS, CAPRINOS, OVINOS, PORCINOS, CANINOS Y FELINOS",191
"BOVINOS (PRODUCTORES DE CARNE YLECHE) OVINOS, PORCINOS, CANINOS Y FELINOS",192
"BOVINOS (PRODUCTORES DE CARNE Y LECHE) OVINOS, CAPRINOS, CANINOS Y FELINOS",193
"BOVINOS (PRODUCTORES DE CARNE Y LECHE) EQUINOS, PORCINOS, CANINOS Y FELINOS",194
"BOVINOS (PRODUCTORES DE CARNE) OVINOS, PORCINOS, CANINOS Y FELINOS",195
"BOVINOS CRANE Y LECHE, PROCINOS, OVINOS, CAPRINOS, CANINOS Y FELINOS",196
"BOVINOS (PRODUCTORES DE CARNE Y LECHE) EQUINOS, OVINOS (CARNE Y LECHE) CAPRINOS (CARNE Y LECHE), PORCINOS, CANINOS Y FELINOS",197
"BOVINOS, EQUINOS, PORCINOS, OVINOS, CANINOS Y FELINOS",198
"BOVINOS PORDUCTORES DE CARNE Y LECHE, PORCINOS, OVINOS, EQUINOS, CANINOS Y FELINOS",199
"BOVINOS Y EQUINOS, OVINOS Y PORCINOS, CANINOS Y FELINOS",200
"BOVINOS PRODUCTORES DE CARNE Y LECHE, QUINOS, PORCINOS, OVINOS, CAPRINS, CANINOS Y FELINOS",201
"BOVINOS (CARNE, LECHE, DOBLE PROPOSITO), EQUINOS, PORCINOS, OVINOS, CAPRIOS, CANINOS Y FELINOS",202
"BOVINOS CARNE Y LECHE, OVINOS Y CAPRINOS (CARNE Y LECHE), PORCINOS (ADULTOS Y LECHONES), CANINOS Y FELINOS",203
"BOVINOS CARNE Y LECHE, PORCINOS, OVINOS, CAPRINOS, CANINOS Y FELINOS",204
"BOVINOS DE CARNE Y LECHE, EQUINOS, PORCINOS, OVINOS, CAPRINOS, CANINOS Y FELINOS",205
BOVINOS-EQINOS-PORCINOS-OVINOS-CAPRINOS CANINOS Y FELINOS HEMBRAS,206
"BOVINOS Y CAPRINOS (CARNE Y LECHE) EQUINOS, PORCINOS, OVINOS, CANINOS Y FELINOS",207
"BOVINOS Y CAPRINOS CARNE Y LECHE, EQUINOS, PORCINOS, OVINOS, CANINOS Y FELINOS",208
"BOVINOS Y CAPRINOS (CARNE Y LECHE) EQUINOS, PORCINOS, OVINOS, CANINOS Y FELINOS, LEPORIDOS",209
"BOVINOS Y CAPRINOS (PRODUCTORES DE CARNE Y DE LECHE), EQUINOS (NO DESTINADOS AL CONSUMO HUMANO). OVINOS, PORCINOS, CANINOS Y FELINOS",210
"BOVINOS ADULTOS, NOVILLOS, TERNEROS Y CAPRINOS (PRODUCTORES DE CARNE Y DE LECHE); EQUINOS ADULTOS Y POTROS (NO DESTINADOS AL CONSUMO HUMANO), PORCINOS (MAYORES, MEDIANOS, DESTETADOS Y LECHONES), OVINOS (ADULTOS Y CORDEROS), CANINOS Y FELINOS",211
"BOVINOS EQUINOS, PORCINOS, OVINOS, CAPRINOS, CANINOS Y FELINOS",212
"BOVINOS CALE Y LEEHCE, EQUINOS, CAPRINOS Y OVINOS, EQUINOS, PORCINOS, CANINOS Y FELINOS",213
"BOVINOS, EQUINOS, PORCINOS, OVINOSM CAPRINOS, CANINOS Y FELINOS Y AVES (PONEDORAS, ENGORDA DOBLE PROPOSITO, ORNAMENTALES Y AVE SD EPELEA)",214
"BOVINOS CARNE, EQUINOS, OVINOS, CAPRINOS, CANINOS Y FELINOS",215
"BOVINOS (CARNE Y LECHE) EQUINOS, OVINOS, CAPRINOS, CAMELIDOS, CANINOS Y FELINOS",216
"BOVINOS CARNE Y LECHE, EQUINOS PARA DEPORTE, ESPECTACULOS Y TRABAJO, OVINOS, CAPRINOS, PORCINOS PRODUCTORES DE CARNE Y CRIAS, CANINOS Y FELINOS",217
